Trial_Num,Layers,Activation,Optimizer,Loss_Func,Batch_Size,LR,L2_Lambda,MSE,RMSE,RMSLE,R2
37,"[256, 128, 64, 32]",softplus,adam,mae,128,0.00014587649033765418,,11.036101341247559,3.3220628141634467,0.4621161730436367,-0.18350911140441895
38,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.0005360258875981122,0.0072290540663851165,9.362781524658203,3.0598662592764088,0.42501904571156274,-0.004062652587890625
39,"[128, 64, 32, 16]",elu,adam,rmse,32,0.0004868942740523623,0.006847075849137616,9.184584617614746,3.030607961715726,0.42682195046179544,0.015047013759613037
40,"[128, 64, 32, 16]",relu,nadam,rmsle,64,0.0009358107493218333,,9.296616554260254,3.0490353481486983,0.42809418128807997,0.0030328035354614258
41,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.000366522684053533,0.0036736166278163074,9.353382110595703,3.05832995450061,0.42500670441780913,-0.0030547380447387695
42,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.00037792129603151633,0.012154041383277832,9.6243314743042,3.1023106669552294,0.4312817734609489,-0.032111287117004395
43,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.0012746614111739535,0.0030159565366973387,9.383337020874023,3.063223305747399,0.4250329292387038,-0.006267070770263672
44,"[128, 64, 32, 16]",elu,adam,mae,64,0.001755440414552491,0.0022084508182547806,11.5193510055542,3.3940169424377067,0.4777754840022603,-0.23533272743225098
45,"[128, 64, 32, 16]",softplus,rmsprop,mse,32,0.001532600048814192,0.0030295776579704896,9.428583145141602,3.0705998021789815,0.4333902001511383,-0.011119246482849121
46,"[128, 64, 32, 16]",relu,adam,rmsle,64,0.00028071609447820486,0.001872151689389882,9.371971130371094,3.0613675261835347,0.42500041092123475,-0.005048155784606934
47,"[128, 64, 32, 16]",relu,adam,rmsle,128,0.0011947756060146808,0.0018857929186184234,9.338836669921875,3.055951025445577,0.42492507456440887,-0.0014948844909667969
48,"[128, 64, 32, 16]",relu,nadam,huber,128,0.0007880181569151,,9.266054153442383,3.044019407533793,0.426804913119198,0.0063103437423706055
49,"[128, 64, 32, 16]",relu,adam,rmse,128,0.00037257012325028397,0.0012547796962357795,9.133814811706543,3.0222201792236354,0.4284780125902525,0.02049165964126587
50,"[128, 64, 32, 16]",relu,rmsprop,mae,128,0.0002919364948778949,0.0018514722889992818,10.797585487365723,3.2859679680979426,0.45996623431029077,-0.15793085098266602
51,"[128, 64, 32, 16]",relu,adam,rmsle,128,0.0012216312517685565,0.0024906423827571545,9.402758598327637,3.0663917881326967,0.4251481695504316,-0.008349895477294922
52,"[128, 64, 32, 16]",relu,adam,rmsle,128,0.0010373822342821365,0.0012239669262649785,9.340333938598633,3.0561959915225714,0.4252228356049678,-0.0016554594039916992
53,"[128, 64, 32, 16]",relu,adam,rmsle,64,0.00240624135681211,0.09258374208061268,9.614666938781738,3.1007526406957617,0.43128158343111306,-0.03107476234436035
54,"[128, 64, 32, 16]",relu,adam,rmsle,32,0.0013408183829845468,0.0019538811837322852,9.404544830322266,3.0666830338856776,0.42518314734926344,-0.008541464805603027
55,"[64, 32, 16]",relu,adam,rmsle,64,0.0005438990904582941,0.0010115328968697825,9.312603950500488,3.0516559357995274,0.4252655510982757,0.0013182759284973145
56,"[128, 64, 32, 16]",relu,nadam,rmsle,64,0.000857596971589668,0.0014101954516467347,30.457759857177734,5.518854940762417,1.6766961719022633,-2.2662837505340576
57,"[128, 64, 32, 16]",relu,adam,huber,128,0.0002650536448248092,0.002385205298914544,9.23236083984375,3.0384800213007406,0.42541987280924937,0.009923577308654785
58,"[128, 64, 32, 16]",relu,adam,rmsle,64,0.00041838887532534666,0.021773220465338097,9.619333267211914,3.101505000352557,0.43128078875998316,-0.03157520294189453
59,"[64, 32, 16]",relu,adam,rmsle,64,0.0006937291169925048,,9.330822944641113,3.054639576879916,0.427987376598453,-0.0006355047225952148
60,"[128, 64, 32, 16]",relu,adam,rmsle,64,0.00020661900659309853,0.0035754006274925413,9.40327262878418,3.066475603813632,0.4251926798776231,-0.008404970169067383
61,"[512, 256, 128, 64, 32, 16]",elu,adam,rmsle,64,0.00012999917824388485,0.0032810450701505297,9.615426063537598,3.1008750480368596,0.43128135885029,-0.031156301498413086
62,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.00020666088267814136,0.0019161759391568846,9.362112045288086,3.0597568604855003,0.42511001663588627,-0.003990888595581055
63,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.0010775923298979436,0.002662571522877838,9.379279136657715,3.0625608788492213,0.4250305277014222,-0.00583195686340332
64,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.0011268272535824217,0.0025976327602494917,9.39925765991211,3.065820878641169,0.4252373081928203,-0.007974386215209961
65,"[128, 64, 32, 16]",elu,adam,mse,64,0.0015201120668642373,0.0017099077574834122,9.132930755615234,3.0220739163056938,0.4287291677157285,0.020586490631103516
66,"[128, 64, 32, 16]",softplus,adam,rmsle,64,0.0021657647393139553,0.004299189761253708,26.76692771911621,5.173676421957234,1.3404192341993455,-1.8704795837402344
67,"[128, 64, 32, 16]",elu,nadam,rmsle,32,0.0005027936479518648,0.006495207519806174,9.43602180480957,3.0718108348024247,0.4252588935103726,-0.01191699504852295
68,"[128, 64, 32, 16]",elu,rmsprop,rmse,64,0.003806097976026624,0.0014132728723961672,9.230181694030762,3.0381214087048534,0.4266431990641697,0.010157227516174316
69,"[64, 32, 16]",relu,adam,rmsle,128,0.00028542048500674764,0.05310607775326268,9.606584548950195,3.099449071843284,0.4312841056384787,-0.030208110809326172
70,"[512, 256, 128, 64, 32]",elu,adam,rmsle,64,0.0014029861391948331,0.00226145659569059,9.329476356506348,3.054419152065798,0.42524941502777,-0.0004911422729492188
71,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.00017111147151540107,0.0027962436810652354,9.36335277557373,3.059959603585271,0.42510765058676886,-0.0041239261627197266
72,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.0009862409459298524,0.004648850930250572,30.457759857177734,5.518854940762417,1.6766961719022633,-2.2662837505340576
73,"[128, 64, 32, 16]",elu,adam,rmsle,64,0.00036954952127188844,0.0036209016894911948,9.412148475646973,3.0679225015712137,0.4250913507794437,-0.00935673713684082
74,"[128, 64, 32]",elu,adam,rmsle,64,0.0001557286308479022,0.002806290926054862,9.32654094696045,3.053938595807134,0.425360935881071,-0.00017631053924560547
75,"[256, 128, 64, 32]",elu,adam,mae,64,0.0006461423730992602,0.010878608887688287,11.872283935546875,3.445618077435001,0.4905465184754329,-0.2731812000274658
76,"[128, 64, 32]",elu,adam,huber,64,0.00012342263896522718,0.00811009503651181,9.28326416015625,3.046844951774909,0.42540985498320916,0.004464685916900635
77,"[512, 256, 128, 64, 32, 16]",elu,adam,rmsle,64,0.0002152421795800378,,9.380821228027344,3.0628126335163475,0.4252641319895947,-0.005997300148010254
78,"[256, 128, 64, 32]",softplus,adam,rmsle,64,0.001702478712459661,0.0032885195442938944,17.41280746459961,4.1728656178458,0.7450585098460554,-0.8673458099365234
79,"[128, 64, 32]",relu,adam,mse,128,0.0020393709129055615,0.00589575832669251,9.158514976501465,3.026303847352652,0.4281621039803162,0.017842769622802734
